"id","session","x","y","chosen","z","zscaled","time","trial","round","distance","type_choice","previous_reward"
1102,1,7,3,32,37,27,1734335758008,0,1,NA,NA,NA
1102,1,4,2,21,9,10,1734335762147,1,1,4,"Far",37
1102,1,4,4,37,42,30,1734335763676,2,1,2,"Far",9
1102,1,1,3,26,23,19,1734335764432,3,1,4,"Far",42
1102,1,1,4,34,36,27,1734335765874,4,1,1,"Near",23
1102,1,3,6,52,26,21,1734335766454,5,1,4,"Far",36
1102,1,5,6,54,18,16,1734335767273,6,1,2,"Far",26
1102,1,5,4,38,18,16,1734335768135,7,1,2,"Far",18
1102,1,3,4,36,39,28,1734335768967,8,1,2,"Far",18
1102,1,3,5,44,41,30,1734335769523,9,1,1,"Near",39
1102,1,4,5,45,42,30,1734335770200,10,1,1,"Near",41
1102,1,5,0,6,31,24,1734335772840,11,1,6,"Far",42
1102,1,3,0,4,45,32,1734335773648,12,1,2,"Far",31
1102,1,1,0,2,14,13,1734335774372,13,1,2,"Far",45
1102,1,0,1,9,20,17,1734335775152,14,1,2,"Far",14
1102,1,3,1,12,18,16,1734335775976,15,1,3,"Far",20
1102,1,2,1,11,21,18,1734335776622,16,1,1,"Near",18
1102,1,2,3,27,34,25,1734335777325,17,1,2,"Far",21
1102,1,2,5,43,32,24,1734335777965,18,1,2,"Far",34
1102,1,1,5,42,34,25,1734335778664,19,1,1,"Near",32
1102,1,0,5,41,48,34,1734335779232,20,1,1,"Near",34
1102,1,0,6,49,37,27,1734335780311,21,1,1,"Near",48
1102,1,0,4,33,44,31,1734335781008,22,1,2,"Far",37
1102,1,2,4,35,43,31,1734335781862,23,1,2,"Far",44
1102,1,1,6,50,27,21,1734335784464,24,1,3,"Far",43
1102,1,0,3,25,28,22,1734335785306,25,1,4,"Far",27
1102,1,7,0,8,27,23,1734335807839,0,2,NA,NA,NA
1102,1,4,0,5,28,24,1734335809283,1,2,3,"Far",27
1102,1,5,2,22,24,21,1734335810944,2,2,3,"Far",28
1102,1,3,3,28,40,32,1734335813089,3,2,3,"Far",24
1102,1,1,3,26,47,37,1734335815655,4,2,2,"Far",40
1102,1,1,2,18,30,25,1734335816833,5,2,1,"Near",47
1102,1,1,1,10,13,14,1734335817675,6,2,1,"Near",30
1102,1,0,1,9,32,27,1734335818533,7,2,1,"Near",13
1102,1,0,2,17,27,23,1734335819245,8,2,1,"Near",32
1102,1,0,3,25,30,25,1734335819798,9,2,1,"Near",27
